品目	紙名	発行日	年	見出し	備考	スコア	辞書ヒット数	極性語数	判定	ノイズ	寄与語	分かち書き
コメ	朝日	2013-09-27	2013	コメ全袋検査に卸業者招く 郡山、ＪＡが安全安心ＰＲ ／福島県	福島中会・１地方／写真図表有	0.5	4	2	ポジティブ		検査:+0.0(名詞) 安全:+1.0(名詞) 安心:+1.0(名詞) ＰＲ:+0.0(名詞)	コメ 検査 卸業者 招く 郡山 ＪＡ 安全 安心 ＰＲ 福島
コメ	朝日	2013-09-18	2013	前向きに生きる姿「福島引き戻す力に」 放射能と闘うコメ農家の記録映画 ／福島県	福島全県・２地方／写真図表有	0.25	4	3	ポジティブ		姿:+0.0(名詞) 力:+1.0(名詞) 放射能:-1.0(名詞) 記録:+1.0(名詞)	前向き 生きる 福島 引き戻す 放射能 闘う コメ 農家 記録 映画 福島
コメ	朝日	2013-06-21	2013	ＴＰＰ農林水産業打撃、県試算年１０４１億円 コメ半減、牛肉４８％減… ／福島県	福島中会・１地方	-0.6667	3	2	ネガティブ		農林:+0.0(名詞) 業:-1.0(名詞) 打撃:-1.0(名詞)	ＴＰＰ 農林 水産 打撃 試算 コメ 半減 牛肉 福島
コメ	朝日	2013-06-11	2013	困難区域でコメ試験栽培 飯舘・長泥の除染農地 ／福島県	福島中会・１地方／写真図表有	-1.0	2	2	ネガティブ		困難:-1.0(名詞) 試験:-1.0(名詞)	困難 区域 コメ 試験 栽培 飯舘 長泥 農地 福島
コメ	朝日	2013-05-31	2013	コメ試験田拡充、実証栽培は１２０ヘクタール 南相馬 ／福島県	福島中会・１地方	0.0	3	2	中立		試験:-1.0(名詞) 拡充:+1.0(名詞) 実証:+0.0(名詞)	コメ 試験 拡充 実証 栽培 ヘクタール 相馬 福島
コメ	朝日	2013-05-15	2013	放射能不検出９８％ 昨年度出荷、福島市産のコメ以外の農産物 ／福島県	福島中会・１地方	-1.0	1	1	ネガティブ		放射能:-1.0(名詞)	放射能 検出 昨年度 出荷 福島 コメ 以外 農産物 福島
コメ	朝日	2013-03-20	2013	居住制限区域でもコメ作付け再開へ 飯舘村や川内村 ／福島県	福島中会・１地方	0.1667	3	1	ポジティブ		制限:+0.0(名詞) 作付け:+0.0(補助) 再開:+0.5(補助)	居住 制限 区域 コメ 作付け 再開 飯舘 川内 福島
コメ	朝日	2013-02-09	2013	原発２０キロ圏外を実証栽培区域に 南相馬市、コメ作付け ／福島県	福島中会・１地方	0.0	3	0	判定不能		原発:+0.0(名詞) 実証:+0.0(名詞) 作付け:+0.0(補助)	原発 キロ 圏外 実証 栽培 区域 相馬 コメ 作付け 福島
コメ	朝日	2013-01-30	2013	福島のコメ作付け、新たに２０００ヘクタール可能に 避難区域の再編受け	２社会（全国面）／写真図表有	-0.3333	3	1	ネガティブ		作付け:+0.0(補助) 可能:+0.0(名詞) 避難:-1.0(名詞)	福島 コメ 作付け 新た ヘクタール 可能 避難 区域 再編 受ける
コメ	朝日	2013-01-10	2013	コメ全袋検査ほぼ終了 ９９．９９％、基準下回る 県、「検査体制整う」 ／福島県	福島中会・１地方	0.25	4	1	ポジティブ		検査:+0.0(名詞) 基準:+0.0(名詞) 検査:+0.0(名詞) 整う:+1.0(用言)	コメ 検査 ほぼ 終了 基準 下回る 検査 体制 整う 福島
コメ	朝日	2013-01-08	2013	福島市産コメ、再び給食に 市内小中学校、「５段階検査で安全性を確認」 ／福島県	福島中会・１地方	0.25	4	1	ポジティブ		検査:+0.0(名詞) 安全:+1.0(名詞) 性:+0.0(名詞) 確認:+0.0(名詞)	福島 コメ 再び 給食 市内 小中学校 段階 検査 安全 確認 福島
コメ	朝日	2012-12-22	2012	コメ作付け、来年も中止 福島・南相馬	３社会（全国面）	-0.35	2	1	ネガティブ		作付け:+0.0(補助) 中止:-0.7(補助)	コメ 作付け 来年 中止 福島 相馬
コメ	朝日	2012-12-13	2012	福島などのコメ１８袋、放射線量基準値超え ／福島県	福島中会・１地方	0.0	3	2	中立		放射線:-1.0(名詞) 量:+1.0(名詞) 基準:+0.0(名詞)	福島 コメ 放射線 基準 超える 福島
コメ	朝日	2012-12-12	2012	試験田のコメ、放射性セシウム基準以下 楢葉町長が公表 ／福島県	福島中会・１地方	-0.475	4	2	ネガティブ		試験:-1.0(名詞) 性:+0.0(名詞) セシウム:-0.9(補助) 基準:+0.0(名詞)	試験 コメ 放射 セシウム 基準 以下 楢葉 町長 公表 福島
コメ	朝日	2012-11-27	2012	旧下川崎のコメ、基準値超え２袋 県発表 ／福島県	福島全県・２地方	0.0	1	0	判定不能		基準:+0.0(名詞)	下川崎 コメ 基準 超える 発表 福島
コメ	朝日	2012-11-23	2012	コメ全袋検査で基準超セシウム 川俣町などで収穫 ／福島県	福島中会・１地方	0.025	4	2	中立		検査:+0.0(名詞) 基準:+0.0(名詞) セシウム:-0.9(補助) 収穫:+1.0(名詞)	コメ 検査 基準 セシウム 川俣 収穫 福島
コメ	朝日	2012-11-15	2012	三春のコメ、３６０ベクレルを検出 今年の最大値 ／福島県	福島中会・１地方	0.0	1	0	判定不能		今年:+0.0(名詞)	三春 コメ ベクレル 検出 今年 最大 福島
コメ	朝日	2012-11-11	2012	（現場から ふくしまを歩く）福島のコメどう売られどう評価 流通追い各地へ／福島県	福島中会・１地方／写真図表有／連載	0.0	1	0	判定不能		評価:+0.0(名詞)	現場 ふく しま 歩く 福島 コメ どう 売る れる どう 評価 流通 追う 各地 福島
コメ	朝日	2012-11-08	2012	コメ９袋から基準超セシウム 旧福島市と旧松川町 ／福島県	福島中会・１地方	-0.45	2	1	ネガティブ		基準:+0.0(名詞) セシウム:-0.9(補助)	コメ 基準 セシウム 福島 松川 福島
コメ	朝日	2012-11-07	2012	コメ１７袋から基準超セシウム 福島市・旧水原村 ／福島県	福島中会・１地方	-0.45	2	1	ネガティブ		基準:+0.0(名詞) セシウム:-0.9(補助)	コメ 基準 セシウム 福島 水原 福島
コメ	朝日	2012-11-02	2012	コメ６袋から１１０ベクレル 福島市南部の旧平田村産 ／福島県	福島中会・１地方	0.0	0	0	判定不能			コメ ベクレル 福島 南部 平田 福島
コメ	朝日	2012-10-30	2012	（農家と放射能 闘いの一年：１１）結果分からぬコメ検査 ／福島県	福島中会・１地方／写真図表有／連載	-0.5	2	1	ネガティブ		放射能:-1.0(名詞) 検査:+0.0(名詞)	農家 放射能 闘い 結果 分かる コメ 検査 福島
コメ	朝日	2012-10-30	2012	福島・須賀川のコメ、出荷停止を解除	３社会（全国面）	0.25	2	1	ポジティブ		停止:+0.0(名詞) 解除:+0.5(補助)	福島 須賀川 コメ 出荷 停止 解除
コメ	朝日	2012-10-26	2012	基準超え地域のコメを出荷停止 政府、福島知事に指示	３社会（全国面）	0.0	2	0	判定不能		基準:+0.0(名詞) 停止:+0.0(名詞)	基準 超える 地域 コメ 出荷 停止 政府 福島 知事 指示
コメ	朝日	2012-10-25	2012	福島のコメから基準超セシウム	３社会（全国面）	-0.45	2	1	ネガティブ		基準:+0.0(名詞) セシウム:-0.9(補助)	福島 コメ 基準 セシウム
コメ	朝日	2012-10-06	2012	基準超コメ検出、袋の異物原因か 県の全袋検査 ／福島県	福島中会・１地方	-0.5	4	2	ネガティブ		基準:+0.0(名詞) 異物:-1.0(名詞) 原因:-1.0(名詞) 検査:+0.0(名詞)	基準 コメ 検出 異物 原因 検査 福島
コメ	朝日	2012-10-03	2012	コメの作柄概況、「やや良」に修正 会津と浜通り ／福島県	福島全県・２地方	0.3333	3	1	ポジティブ		作柄:+0.0(名詞) 良:+1.0(名詞) 修正:+0.0(名詞)	コメ 作柄 概況 やや 修正 通り 福島
コメ	朝日	2012-09-23	2012	（声）懐かしい福島のコメ、楽しみ	オピニオン２（投書欄）	1.0	1	1	ポジティブ		楽しみ:+1.0(名詞)	懐かしい 福島 コメ 楽しみ
コメ	朝日	2012-09-21	2012	田んぼアート見ごろ 三春町、コメ７種類使い ／福島県	福島全県・２地方／写真図表有	0.0	0	0	判定不能			田んぼ アート 見る ごろ 三春 コメ 種類 使い 福島
コメ	朝日	2012-09-03	2012	（防災 復興）「福島産」の名にかけて 信頼のため、コメ全袋検査	４社会（全国面）／写真図表有／連載	0.5	6	3	ポジティブ		防災:+0.0(名詞) 復興:+0.0(名詞) 名:+1.0(名詞) 信頼:+1.0(名詞) ため:+1.0(名詞) 検査:+0.0(名詞)	防災 復興 福島 信頼 ため コメ 検査
コメ	朝日	2012-08-28	2012	川の向こうはコメ作付けを制限 福島	５総合（全国面）／写真図表有	0.0	2	0	判定不能		作付け:+0.0(補助) 制限:+0.0(名詞)	向こう コメ 作付け 制限 福島
コメ	朝日	2012-08-26	2012	コメ全袋検査スタート「安心・安全届けたい」 セシウム検出下限未満に ／福島県	福島中会・１地方／写真図表有	0.1833	6	3	ポジティブ		検査:+0.0(名詞) 安心:+1.0(名詞) 安全:+1.0(名詞) 届け:+0.0(名詞) セシウム:-0.9(補助) 下限:+0.0(名詞)	コメ 検査 スタート 安心 安全 届ける セシウム 検出 下限 未満 福島
コメ	朝日	2012-08-09	2012	一時的に６０億円、県が立て替えへ コメ全袋検査費 ／福島県	福島全県・２地方	0.0	1	0	判定不能		検査:+0.0(名詞)	一時 立て替える コメ 検査 福島
コメ	朝日	2012-07-27	2012	管理計画認めてコメ出荷を解除 １０市町村農家対象 ／福島県	福島全県・１地方	0.75	2	2	ポジティブ		認める:+1.0(用言) 解除:+0.5(補助)	管理 計画 認める コメ 出荷 解除 市町村 農家 対象 福島
コメ	朝日	2012-07-20	2012	コメ作り再開、アヒルに託す 広野の新妻さん、２年ぶり無農薬米作付け ／福島県	福島全県・２地方／写真図表有	0.375	4	2	ポジティブ		作り:+1.0(名詞) 再開:+0.5(補助) 米:+0.0(名詞) 作付け:+0.0(補助)	コメ 作り 再開 アヒル 託す 広野 新妻 さん ぶり 農薬 作付け 福島
コメ	朝日	2012-05-29	2012	コメ全袋検査へ機器選定説明会 郡山で農家など集め ／福島県	福島中会・１地方	0.0	2	0	判定不能		検査:+0.0(名詞) 説明:+0.0(名詞)	コメ 検査 機器 選定 説明 郡山 農家 集める 福島
コメ	朝日	2012-05-28	2012	コメ作り見合わせた相馬・玉野の全農地、放射線量測定へ 東農大チーム ／福島県	福島中会・１地方	0.3333	3	3	ポジティブ		作り:+1.0(名詞) 放射線:-1.0(名詞) 量:+1.0(名詞)	コメ 作り 見合わせる 相馬 玉野 農地 放射線 測定 東農大 チーム 福島
コメ	朝日	2012-05-22	2012	福島産のコメを長野産に偽装 卸業者に改善指導	夕刊２社会（全国面）	0.0333	3	2	中立		偽装:-0.9(補助) 改善:+1.0(名詞) 指導:+0.0(名詞)	福島 コメ 長野 偽装 卸業者 改善 指導
コメ	朝日	2012-05-21	2012	故郷思いコメ作り 双葉から避難の農家、埼玉で ／福島県	福島中会・１地方／写真図表有	0.0	2	2	中立		作り:+1.0(名詞) 避難:-1.0(名詞)	故郷 思い コメ 作り 双葉 避難 農家 埼玉 福島
コメ	朝日	2012-05-08	2012	農林水産物対策、コメ検査支援も 県やＪＡが協議会 ／福島県	福島全県・２地方／写真図表有	0.25	4	1	ポジティブ		農林:+0.0(名詞) 対策:+0.0(名詞) 検査:+0.0(名詞) 支援:+1.0(名詞)	農林 水産物 対策 コメ 検査 支援 ＪＡ 協議 福島
コメ	朝日	2012-04-21	2012	福島のコメ農家、３５億円賠償請求 原発ＡＤＲに３人が申し立て	５総合（全国面）	-0.1667	3	1	ネガティブ		賠償:-0.5(補助) 原発:+0.0(名詞) 人:+0.0(名詞)	福島 コメ 農家 賠償 請求 原発 ＡＤＲ 申し立てる
コメ	朝日	2012-04-06	2012	コメ作付け制限、福島知事に指示 野田政権	３社会（全国面）	0.0	2	0	判定不能		作付け:+0.0(補助) 制限:+0.0(名詞)	コメ 作付け 制限 福島 知事 指示 野田 政権
コメ	朝日	2012-03-29	2012	コメ作付け自粛、代わりに試験田 南相馬市、正式決定 ／福島県	福島中会・１地方	-0.4	5	2	ネガティブ		作付け:+0.0(補助) 自粛:-1.0(名詞) 代わり:+0.0(名詞) 試験:-1.0(名詞) 決定:+0.0(名詞)	コメ 作付け 自粛 代わり 試験 相馬 正式 決定 福島
コメ	朝日	2012-03-29	2012	コメ作付け自粛を正式決定 代わりに試験田 南相馬市 ／福島県	福島浜通り・１地方／中会版と同一記事	-0.4	5	2	ネガティブ		作付け:+0.0(補助) 自粛:-1.0(名詞) 決定:+0.0(名詞) 代わり:+0.0(名詞) 試験:-1.0(名詞)	コメ 作付け 自粛 正式 決定 代わり 試験 相馬 福島
コメ	朝日	2012-03-10	2012	福島コメ、条件作付け４０００ヘクタール 農水省が区割り公表	５総合（全国面）／写真図表有	0.0	1	0	判定不能		作付け:+0.0(補助)	福島 コメ 条件 作付け ヘクタール 農水省 区割り 公表
コメ	朝日	2012-03-09	2012	福島の６市町、コメ作付けへ １００～５００ベクレル地域	５総合（全国面）	0.0	1	0	判定不能		作付け:+0.0(補助)	福島 市町 コメ 作付け ベクレル 地域
コメ	朝日	2012-03-06	2012	コメ全袋検査装置を公開 メーカーが試作器 ／福島県	福島中会・１地方／写真図表有	0.0	1	0	判定不能		検査:+0.0(名詞)	コメ 検査 装置 公開 メーカー 試作 福島
コメ	朝日	2012-03-06	2012	野菜・コメなど、放射性物質の測定サービス 郡山３５カ所で開始 ／福島県	福島中会・１地方／写真図表有	0.3333	3	1	ポジティブ		性:+0.0(名詞) 物質:+0.0(名詞) サービス:+1.0(名詞)	野菜 コメ 放射 物質 測定 サービス 郡山 カ所 開始 福島
コメ	朝日	2012-03-01	2012	事務膨大、不安の声も 福島でコメ作付け説明会 ／福島県	福島中会・１地方	-0.3333	3	1	ネガティブ		不安:-1.0(名詞) 作付け:+0.0(補助) 説明:+0.0(名詞)	事務 膨大 不安 福島 コメ 作付け 説明 福島
コメ	朝日	2012-02-29	2012	コメ作付け地域拡大、評価とあきらめと 農家と自治体、販売は見通せず ／福島県	福島中会・１地方	-0.2	5	1	ネガティブ		作付け:+0.0(補助) 拡大:+0.0(名詞) 評価:+0.0(名詞) あきらめ:-1.0(名詞) 販売:+0.0(名詞)	コメ 作付け 地域 拡大 評価 あきらめ 農家 自治体 販売 見通せる 福島
コメ	朝日	2012-02-24	2012	「県は主体性発揮を」 コメ作付け制限めぐり、市町村から不満の声 ／福島県	福島中会・１地方	0.0	6	2	中立		主体性:+0.0(名詞) 発揮:+1.0(名詞) 作付け:+0.0(補助) 制限:+0.0(名詞) めぐり:+0.0(名詞) 不満:-1.0(名詞)	主体性 発揮 コメ 作付け 制限 めぐる 市町村 不満 福島
コメ	朝日	2012-02-11	2012	南相馬、今年もコメ断念 除染徹底、試験栽培は実施 ／福島県	福島中会・１地方	-0.425	4	2	ネガティブ		今年:+0.0(名詞) 断念:-0.7(補助) 徹底:+0.0(名詞) 試験:-1.0(名詞)	相馬 今年 コメ 断念 徹底 試験 栽培 実施 福島
コメ	朝日	2012-02-08	2012	福島県がコメ調査結果を訂正	３社会（全国面）	0.0	1	0	判定不能		訂正:+0.0(名詞)	福島 コメ 調査 結果 訂正
コメ	朝日	2012-01-20	2012	「規制値超も作付け認めて」 食用以外前提に コメ巡り福島市、農水省に要望／福島県	福島中会・１地方	0.3333	3	1	ポジティブ		規制:+0.0(名詞) 作付け:+0.0(補助) 認める:+1.0(用言)	規制 作付け 認める 食用 以外 前提 コメ 巡り 福島 農水省 要望 福島
コメ	朝日	2012-01-19	2012	コメ緊急調査、県が誤った結果通知 郡山２８４農家、重大８戸に謝罪 ／福島県	福島中会・１地方	-0.6667	3	2	ネガティブ		緊急:-1.0(名詞) 誤る:-1.0(用言) 重大:+0.0(名詞)	コメ 緊急 調査 誤る 結果 通知 郡山 農家 重大 謝罪 福島
コメ	朝日	2012-01-05	2012	福島・伊達市の一部でコメ出荷停止	１社会（全国面）	0.5	2	1	ポジティブ		伊達:+1.0(名詞) 停止:+0.0(名詞)	福島 伊達 一部 コメ 出荷 停止
コメ	朝日	2011-12-31	2011	福島のコメ、伊達の別地区もセシウム基準超	２社会（全国面）	0.0333	3	2	中立		伊達:+1.0(名詞) セシウム:-0.9(補助) 基準:+0.0(名詞)	福島 コメ 伊達 地区 セシウム 基準
コメ	朝日	2011-12-29	2011	福島のコメ農家１４戸、基準値超え セシウム検出問題	３社会（全国面）	-0.6333	3	2	ネガティブ		基準:+0.0(名詞) セシウム:-0.9(補助) 問題:-1.0(名詞)	福島 コメ 農家 基準 超える セシウム 検出 問題
コメ	朝日	2011-12-27	2011	コメ作付け禁止分、県内を優先に調整 市町村別目標決まる ／福島県	福島中会・１地方	0.25	4	1	ポジティブ		作付け:+0.0(補助) 禁止:+0.0(名詞) 優先:+0.0(名詞) 目標:+1.0(名詞)	コメ 作付け 禁止 県内 優先 調整 市町村 目標 決まる 福島
コメ	朝日	2011-12-26	2011	土のカリウム濃度が関係 コメのセシウム値 福島県・農水省調査	２社会（全国面）	-0.9	1	1	ネガティブ		セシウム:-0.9(補助)	カリウム 濃度 関係 コメ セシウム 福島 農水省 調査
コメ	朝日	2011-12-23	2011	渡利地区のコメ、放射性セシウム１５４０ベクレル検出 ／福島県	福島中会・１地方	-0.45	2	1	ネガティブ		性:+0.0(名詞) セシウム:-0.9(補助)	渡利 地区 コメ 放射 セシウム ベクレル 検出 福島
コメ	朝日	2011-12-19	2011	放射性セシウム基準値超え５．６％ 大波地区コメ全袋検査 ／福島県	福島中会・１地方	-0.18	5	1	ネガティブ		性:+0.0(名詞) セシウム:-0.9(補助) 基準:+0.0(名詞) 大波:+0.0(名詞) 検査:+0.0(名詞)	放射 セシウム 基準 超える 大波 地区 コメ 検査 福島
コメ	朝日	2011-12-18	2011	コメまた基準超セシウム 福島・渡利 ／福島県	福島中会・１地方	-0.45	2	1	ネガティブ		基準:+0.0(名詞) セシウム:-0.9(補助)	コメ 基準 セシウム 福島 渡利 福島
コメ	朝日	2011-12-18	2011	出回らぬコメ、悲嘆の福島 消費者も外食業者も敬遠	２社会（全国面）／写真図表有	-0.5667	3	2	ネガティブ		悲嘆:-0.9(補助) 消費:+0.0(名詞) 敬遠:-0.8(補助)	出回る コメ 悲嘆 福島 消費 外食 業者 敬遠
コメ	朝日	2011-12-17	2011	首長・住民ら懐疑的 「コメと同じでは」 原発事故収束宣言 ／福島県	福島中会・１地方	-0.3333	3	1	ネガティブ		懐疑:+0.0(名詞) 原発:+0.0(名詞) 事故:-1.0(名詞)	首長 住民 懐疑 コメ 原発 事故 収束 宣言 福島
コメ	朝日	2011-12-10	2011	福島のコメ、粗い検査 安全宣言後、相次ぐ基準値超え サンプル数少なく「漏れ」	２社会（全国面）／写真図表有	0.2	5	3	ポジティブ		検査:+0.0(名詞) 安全:+1.0(名詞) 基準:+0.0(名詞) 数少ない:+1.0(用言) 漏れ:-1.0(名詞)	福島 コメ 粗い 検査 安全 宣言 相次ぐ 基準 超える サンプル 数少ない 漏れ
コメ	朝日	2011-12-10	2011	福島・伊達の２地区、コメ出荷停止 相馬と南相馬はキウイ	２社会（全国面）	0.5	2	1	ポジティブ		伊達:+1.0(名詞) 停止:+0.0(名詞)	福島 伊達 地区 コメ 出荷 停止 相馬 相馬 キウイ
コメ	朝日	2011-12-09	2011	福島・伊達のコメ、新たに２地区でセシウム基準超	２社会（全国面）	0.0333	3	2	中立		伊達:+1.0(名詞) セシウム:-0.9(補助) 基準:+0.0(名詞)	福島 伊達 コメ 新た 地区 セシウム 基準
コメ	朝日	2011-12-08	2011	コメの生産目標「県内一律配分に」 県検討会議、意向調査後に調整も ／福島県	福島浜通り・１地方	0.2	5	1	ポジティブ		生産:+0.0(名詞) 目標:+1.0(名詞) 一律:+0.0(名詞) 検討:+0.0(名詞) 意向:+0.0(名詞)	コメ 生産 目標 県内 一律 配分 検討 会議 意向 調査 調整 福島
コメ	朝日	2011-12-08	2011	コメ生産目標「一律配分に」 意向調査後に調整も 県検討会議 ／福島県	福島中会・１地方／浜通り版と同一記事	0.2	5	1	ポジティブ		生産:+0.0(名詞) 目標:+1.0(名詞) 一律:+0.0(名詞) 意向:+0.0(名詞) 検討:+0.0(名詞)	コメ 生産 目標 一律 配分 意向 調査 調整 検討 会議 福島
コメ	朝日	2011-12-08	2011	福島・二本松のコメ、１戸で基準値超え セシウム検出	２社会（全国面）	-0.45	2	1	ネガティブ		基準:+0.0(名詞) セシウム:-0.9(補助)	福島 二本松 コメ 基準 超える セシウム 検出
コメ	朝日	2011-12-07	2011	大波地区のコメ、全量購入「困難」 福島市に東電幹部 ／福島県	福島全県・２地方	-0.3333	3	1	ネガティブ		大波:+0.0(名詞) 困難:-1.0(名詞) 幹部:+0.0(名詞)	大波 地区 コメ 全量 購入 困難 福島 東電 幹部 福島
コメ	朝日	2011-10-18	2011	セシウム基準超「まれなケース」 福島・二本松のコメ、県中間報告	２社会（全国面）	-0.3	3	1	ネガティブ		セシウム:-0.9(補助) 基準:+0.0(名詞) まれ:+0.0(名詞)	セシウム 基準 まれ ケース 福島 二本松 コメ 中間 報告
コメ	朝日	2011-10-13	2011	福島県知事が「コメ安全宣言」 県産米の検査終える	１総合（全国面・１面）／写真図表有	0.3333	3	1	ポジティブ		安全:+1.0(名詞) 米:+0.0(名詞) 検査:+0.0(名詞)	福島 県知事 コメ 安全 宣言 検査 終える
コメ	朝日	2011-10-13	2011	消費者の信用は？農家の心晴れず コメ出荷ＯＫ ／福島県	福島全県・１地方	0.5	4	2	ポジティブ		消費:+0.0(名詞) 信用:+1.0(名詞) 晴れる:+1.0(用言) ＯＫ:+0.0(名詞)	消費 信用 農家 晴れる コメ 出荷 ＯＫ 福島
コメ	朝日	2011-10-12	2011	福島のコメ出荷可能 全地点で放射性物質、基準値以下	夕刊１社会（全国面）	0.0	4	0	判定不能		可能:+0.0(名詞) 性:+0.0(名詞) 物質:+0.0(名詞) 基準:+0.0(名詞)	福島 コメ 出荷 可能 地点 放射 物質 基準 以下
コメ	朝日	2011-10-07	2011	二本松のコメ、サンプル５点はセシウム検出せず ／福島県	福島全県・１地方	-0.45	2	1	ネガティブ		点:+0.0(名詞) セシウム:-0.9(補助)	二本松 コメ サンプル セシウム 検出 する 福島
コメ	朝日	2011-09-30	2011	田んぼ１年放っておけぬ 作付け禁止でもコメあえて収穫 川内の避難準備区域／福島県	福島全県・１地方／写真図表有	0.0	5	2	中立		作付け:+0.0(補助) 禁止:+0.0(名詞) 収穫:+1.0(名詞) 避難:-1.0(名詞) 準備:+0.0(名詞)	田んぼ 放つ おける 作付け 禁止 コメ あえて 収穫 川内 避難 準備 区域 福島
コメ	朝日	2011-09-23	2011	６市町村のコメ、新たに出荷可能 ／福島県	福島全県・１地方	0.0	1	0	判定不能		可能:+0.0(名詞)	市町村 コメ 新た 出荷 可能 福島
コメ	朝日	2011-09-22	2011	「地元のコメは」蔵元揺れる秋 放射線測定、安全ＰＲも ／福島県	福島全県・１地方／写真図表有	0.0	4	2	中立		秋:+0.0(名詞) 放射線:-1.0(名詞) 安全:+1.0(名詞) ＰＲ:+0.0(名詞)	地元 コメ 蔵元 揺れる 放射線 測定 安全 ＰＲ 福島
コメ	朝日	2011-09-15	2011	福島の蔵元、揺れる秋 地元のコメ使いたいけど…	夕刊１社会（全国面）／写真図表有	0.0	1	0	判定不能		秋:+0.0(名詞)	福島 蔵元 揺れる 地元 コメ 使う
コメ	朝日	2011-09-10	2011	コメ価格、堅調 ＪＡ福島・宮城	２社会（全国面）	0.0	2	2	中立		価格:-1.0(名詞) 堅調:+1.0(名詞)	コメ 価格 堅調 ＪＡ 福島 宮城
コメ	朝日	2011-08-05	2011	コメ放射性物質調査へ ４８市町村４０２地点で 県、より細かく ／福島県	福島全県・１地方	0.0	2	0	判定不能		性:+0.0(名詞) 物質:+0.0(名詞)	コメ 放射 物質 調査 市町村 地点 より 細かい 福島
コメ	朝日	2011-05-24	2011	「お布団」がコメ育てます いわきの有機農法グループ、一風変わった田植え ／福島県	福島全県・１地方／写真図表有	0.0	0	0	判定不能			布団 コメ 育てる いわき 有機 農法 グループ 一風 変わる 田植え 福島
コメ	朝日	2011-04-27	2011	被災地分コメ生産、１０市町引き受けへ 宮城・福島の６１７０トン ／秋田県	秋田全県・１地方	0.0	3	2	中立		被災:-1.0(名詞) 生産:+0.0(名詞) 引き受け:+1.0(名詞)	被災 コメ 生産 市町 引き受け 宮城 福島 トン 秋田
コメ	朝日	2011-04-22	2011	コメ作付け禁止 福島第一原発「警戒・計画・緊急」の避難域 菅政権	４総合（全国面）	-0.4286	7	3	ネガティブ		作付け:+0.0(補助) 禁止:+0.0(名詞) 原発:+0.0(名詞) 警戒:-1.0(名詞) 緊急:-1.0(名詞) 避難:-1.0(名詞) 域:+0.0(名詞)	コメ 作付け 禁止 福島 原発 警戒 計画 緊急 避難 政権
コメ	朝日	2011-04-22	2011	豊かな地、奪われた コメ作付け禁止、１万ヘクタール・７千戸 福島第一原発事故	夕刊１社会（全国面）／写真図表有	0.0	5	2	中立		豊か:+1.0(名詞) 作付け:+0.0(補助) 禁止:+0.0(名詞) 原発:+0.0(名詞) 事故:-1.0(名詞)	豊か 奪う れる コメ 作付け 禁止 ヘクタール 福島 原発 事故
コメ	朝日	2011-04-15	2011	コメ生産量、福島も調整へ 農地被害影響で	５総合（全国面）	0.0	4	2	中立		生産:+0.0(名詞) 量:+1.0(名詞) 被害:-1.0(名詞) 影響:+0.0(名詞)	コメ 生産 福島 調整 農地 被害 影響
コメ	朝日	2011-04-12	2011	避難準備区域もコメ作付け困難 農水相が表明 福島第一原発事故での放射能汚染	夕刊２社会（全国面）	-0.5	10	5	ネガティブ		避難:-1.0(名詞) 準備:+0.0(名詞) 作付け:+0.0(補助) 困難:-1.0(名詞) 農水:+0.0(名詞) 相:+0.0(名詞) 原発:+0.0(名詞) 事故:-1.0(名詞) 放射能:-1.0(名詞) 汚染:-1.0(名詞)	避難 準備 区域 コメ 作付け 困難 農水 表明 福島 原発 事故 放射能 汚染
コメ	朝日	2011-04-09	2011	コメ作付け禁止へ基準 放射能汚染、近く地域設定 福島原発３０キロ圏内も禁止	１総合（全国面・１面）	-0.2857	7	2	ネガティブ		作付け:+0.0(補助) 禁止:+0.0(名詞) 基準:+0.0(名詞) 放射能:-1.0(名詞) 汚染:-1.0(名詞) 原発:+0.0(名詞) 禁止:+0.0(名詞)	コメ 作付け 禁止 基準 放射能 汚染 近く 地域 設定 福島 原発 キロ 圏内 禁止
コメ	朝日	2011-04-08	2011	汚染地域のコメ作付け、鹿野農水相が禁止方針表明 福島第一原発事故	夕刊２総合（全国面）	-0.2857	7	2	ネガティブ		汚染:-1.0(名詞) 作付け:+0.0(補助) 農水:+0.0(名詞) 相:+0.0(名詞) 禁止:+0.0(名詞) 原発:+0.0(名詞) 事故:-1.0(名詞)	汚染 地域 コメ 作付け 鹿野 農水 禁止 方針 表明 福島 原発 事故
コメ	朝日	2011-04-08	2011	コメ作付けに禁止区域 農水省、汚染推計もとに指定へ 福島原発事故の影響	３総合（全国面）	-0.3333	6	2	ネガティブ		作付け:+0.0(補助) 禁止:+0.0(名詞) 汚染:-1.0(名詞) 原発:+0.0(名詞) 事故:-1.0(名詞) 影響:+0.0(名詞)	コメ 作付け 禁止 区域 農水省 汚染 推計 もと 指定 福島 原発 事故 影響
